process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
WZ_llqq,FM0,0.0337143760250364,0.49,47.858,51.356,0.296
WZ_llqq,FM1,0.013557619245252357,0.197,49.282,50.123,0.398
WZ_llqq,FM1odd,0.010579511114884591,0.153,99.612,0.001,0.234
WZ_llqq,FM2,0.010553780406886003,0.492,99.269,0.002,0.237
WZ_llqq,FM2odd,0.041518846193115334,83.124,8.664,7.049,1.163
WZ_llqq,FM3,0.004408467106510997,0.208,99.474,0.002,0.315
WZ_llqq,FM3odd,0.008462707482464594,47.127,33.12,18.903,0.85
WZ_llqq,FM4,0.04205660056890333,83.067,8.643,7.136,1.154
WZ_llqq,FM4odd,0.025312026377677214,50.294,29.163,19.718,0.824
WZ_llqq,FM5,0.023088839256612807,52.328,25.722,21.148,0.802
WZ_llqq,FM5odd,0.13355407676006106,0.125,48.898,50.676,0.3
WZ_llqq,FM6odd,0.07753845374017475,76.23,8.7,14.158,0.912
WZ_llqq,FM7,0.008256467009985773,45.166,25.397,28.79,0.647
WZ_llqq,FM8,0.00855695549527405,47.17,32.894,18.995,0.941
WZ_llqq,FM9,0.07811231610637506,21.433,19.895,57.759,0.913
WZ_llqq,FS0,0.001969137229477161,99.655,0.186,0.146,0.013
WZ_llqq,FS1,0.0008916583865043833,99.097,0.503,0.392,0.008
WZ_llqq,FS2,0.001969137229477161,99.655,0.186,0.146,0.013
WZ_llqq,FT0,2.4115573091403166,0.001,0.136,0.181,99.683
WZ_llqq,FT1,5.427828005547412,0.001,0.045,0.055,99.9
WZ_llqq,FT2,0.6439579614760382,0.001,0.067,0.087,99.845
WZ_llqq,FT2odd,1.5550837731432532,0.0,0.115,0.119,99.765
WZ_llqq,FT3,1.1701844744777457,0.001,0.056,0.07,99.874
WZ_llqq,FT3odd,1.55694801938805,0.0,0.109,0.171,99.719
WZ_llqq,FT4,0.1091562628447886,0.001,0.08,0.103,99.816
WZ_llqq,FT4odd,0.9474351946736344,0.0,0.065,0.088,99.847
WZ_llqq,FT5,0.4099989027336719,0.0,0.111,0.154,99.735
WZ_llqq,FT5odd,27.31333188437141,0.0,0.096,0.126,99.778
WZ_llqq,FT6,0.4327074174206062,0.001,0.069,0.088,99.842
WZ_llqq,FT6odd,54.80023586332312,0.0,0.04,0.05,99.909
WZ_vvqq,FM0,0.1394043008300719,0.487,48.107,51.109,0.297
WZ_vvqq,FM1,0.05565137931407496,0.197,49.133,50.271,0.398
WZ_vvqq,FM1odd,0.04334810387358277,0.13,99.634,0.001,0.234
WZ_vvqq,FM2,0.043207800425312484,0.494,99.266,0.002,0.238
WZ_vvqq,FM2odd,0.17044613461714953,83.111,8.739,6.98,1.17
WZ_vvqq,FM3,0.018112399600617765,0.208,99.474,0.002,0.316
WZ_vvqq,FM3odd,0.034655222543371646,47.043,33.268,18.829,0.86
WZ_vvqq,FM4,0.17275281501625056,83.064,8.635,7.146,1.155
WZ_vvqq,FM4odd,0.10373447162493864,50.217,29.439,19.515,0.828
WZ_vvqq,FM5,0.09471249370109051,52.397,25.602,21.196,0.805
WZ_vvqq,FM5odd,0.5493950562712075,0.117,48.741,50.845,0.298
WZ_vvqq,FM6odd,0.3197184415880094,76.167,8.761,14.155,0.918
WZ_vvqq,FM7,0.03387161311164269,45.222,25.255,28.871,0.652
WZ_vvqq,FM8,0.03509978987601331,47.234,32.767,19.051,0.948
WZ_vvqq,FM9,0.32085649207683176,21.432,19.823,57.832,0.912
WZ_vvqq,FS0,0.008088186599726616,99.655,0.186,0.146,0.013
WZ_vvqq,FS1,0.0036624666403638558,99.097,0.503,0.392,0.008
WZ_vvqq,FS2,0.008088186599726616,99.655,0.186,0.146,0.013
WZ_vvqq,FT0,9.860099771494749,0.001,0.136,0.183,99.681
WZ_vvqq,FT1,22.281421523405566,0.001,0.045,0.055,99.899
WZ_vvqq,FT2,2.642076952998182,0.001,0.067,0.087,99.845
WZ_vvqq,FT2odd,6.401153875964024,0.0,0.114,0.12,99.766
WZ_vvqq,FT3,4.806449565437847,0.001,0.056,0.069,99.874
WZ_vvqq,FT3odd,6.4096730321353235,0.0,0.11,0.171,99.719
WZ_vvqq,FT4,0.44334026800549,0.001,0.081,0.102,99.816
WZ_vvqq,FT4odd,3.97809481616514,0.0,0.063,0.086,99.85
WZ_vvqq,FT5,1.6293561962637213,0.0,0.112,0.16,99.728
WZ_vvqq,FT5odd,112.02685026210072,0.0,0.096,0.126,99.778
WZ_vvqq,FT6,1.7559997362162008,0.001,0.069,0.088,99.842
